epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
94,6022.42,1.1685,0.65397,1.03324,0.85133,0.75888,0.80149,0.62421,1.26951,0.73846,1.24089,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,6087.67,1.18636,0.65891,1.0201,0.87788,0.74957,0.81052,0.63125,1.26304,0.7349,1.2208,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,6151.99,1.1934,0.66386,1.03055,0.88742,0.73753,0.79584,0.61935,1.25948,0.75605,1.2178,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,6217.21,1.20542,0.66256,1.02059,0.90508,0.76318,0.80505,0.62697,1.2459,0.72665,1.20736,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,6283.01,1.17667,0.65096,1.01377,0.85611,0.784,0.81046,0.63737,1.24562,0.74617,1.21896,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,6348.09,1.19747,0.66299,1.02094,0.90613,0.75335,0.80531,0.6288,1.25275,0.7569,1.19763,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,6411.06,1.20405,0.66943,1.02153,0.88353,0.756,0.80779,0.6427,1.23902,0.74204,1.1968,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,6475.39,1.22777,0.67194,1.01673,0.87388,0.75402,0.80281,0.64185,1.22517,0.77053,1.1779,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,6539.6,1.20717,0.66531,1.02142,0.87247,0.77566,0.81082,0.63682,1.23279,0.76165,1.17955,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,6602.85,1.18172,0.65261,1.01802,0.87139,0.78839,0.81811,0.63106,1.25429,0.73772,1.20339,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
104,6664.71,1.19039,0.65982,1.02121,0.87041,0.78365,0.82072,0.62701,1.27196,0.71927,1.23623,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015,0.0147045,0.0049015
105,6727.74,1.16645,0.64474,1.02202,0.90152,0.76132,0.81645,0.64187,1.2461,0.73833,1.19354,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,6790.81,1.18171,0.64561,1.01518,0.86849,0.78836,0.81532,0.63974,1.26002,0.75371,1.2159,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,6853.33,1.16861,0.63889,1.00965,0.88281,0.78268,0.81769,0.64269,1.25441,0.68279,1.23253,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,6917.54,1.18566,0.6508,1.01565,0.85797,0.78602,0.81982,0.6488,1.23662,0.72897,1.20025,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,6980.75,1.19207,0.64438,1.01235,0.86949,0.7904,0.82293,0.65169,1.23271,0.71085,1.19866,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,7042.35,1.16077,0.64746,1.0151,0.91422,0.77959,0.80763,0.64782,1.21584,0.7471,1.16771,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,7107.12,1.15749,0.63413,1.01166,0.93435,0.75416,0.80342,0.63076,1.2447,0.72631,1.22222,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,7172.48,1.18047,0.6417,1.00809,0.87732,0.78053,0.79453,0.63929,1.23946,0.72478,1.20925,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,7236.89,1.15175,0.63692,1.02388,0.90474,0.77053,0.80598,0.63704,1.24225,0.70772,1.21804,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,7299.7,1.15771,0.63593,1.00885,0.90433,0.77681,0.8081,0.63651,1.23706,0.71485,1.19919,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,7364.63,1.16939,0.63191,1.00946,0.85094,0.78345,0.80127,0.63436,1.24168,0.69832,1.21913,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,7431.14,1.15945,0.63575,1.0066,0.90842,0.78425,0.80529,0.63273,1.26486,0.70808,1.22386,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,7498.22,1.16401,0.64204,1.01002,0.91421,0.76654,0.81113,0.64725,1.24992,0.73973,1.20718,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,7564.43,1.16525,0.62874,1.00698,0.87773,0.77888,0.812,0.6414,1.25449,0.71777,1.22361,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,7631.48,1.1612,0.62774,0.99842,0.92075,0.772,0.80569,0.64273,1.23616,0.74457,1.19232,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,7697.71,1.15477,0.6271,1.00514,0.90349,0.77349,0.80392,0.64155,1.25922,0.72464,1.22455,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,7763.57,1.13897,0.61747,1.00611,0.90014,0.76907,0.80732,0.63789,1.25472,0.72925,1.24417,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,7828.29,1.14733,0.62221,1.00241,0.90375,0.77398,0.80745,0.64382,1.23012,0.72147,1.20545,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,7893.42,1.14814,0.61895,0.99716,0.91124,0.77491,0.80783,0.64746,1.23794,0.70843,1.22081,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,7959.45,1.1454,0.62075,1.0015,0.92037,0.78509,0.81435,0.64182,1.23754,0.69399,1.22462,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,8024.92,1.14971,0.62194,1.00124,0.91185,0.79105,0.80911,0.6427,1.24859,0.7052,1.21567,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
